Šifra stranke,Naziv,E-pošta,Tel. številko,Uporabniki,Skupina (Magento),Cenik,Plačnik,Popust polno pakiranje,Vrednostni rabat,Rabat prag 1,Rabat % 1,Rabat prag 2,Rabat % 2,Rabat prag 3,Rabat % 3,B2B+,Skupine popustov,Popust NW
0001698,Topdom Metlika,,,,,B2C,0001537|,0,0,800,1,1500,2,3000,3,0,,
0001699,"LAGEA, d.o.o. PE Črnomelj",,,,,B2C,0001004|,0,0,800,1,1500,2,3000,3,0,,
0001704,TRANSIMPEX-BULGARIA LTD.,,,,,B2C,,0,0,800,1,1500,2,3000,3,0,,
0001707,"ELPRO KRIŽNIČ d.o.o.,",,,,,B2C,0001053|,0,0,800,1,1500,2,3000,3,0,,
0001712,FEBUS LIGHT TRGOVINA ANDREJ GUZELJ S.P. Dobava,,,,,B2C,0000717|,0,0,800,1,1500,2,3000,3,0,,
0001715,ELTHERMA TRGOVINA IN STORITVE  D.O.O.,,,,,B2B,0000717|,0,0,800,1,1500,2,3000,3,0,,
0001716,EVENTUS PE NM Veleprodaja,,,,,B2C,0000717|,0,0,800,1,1500,2,3000,3,0,,
0001741,Kurivo  PE Koper,,,,,,0001537|,0,0,800,1,1500,2,3000,3,0,,
0001744,"3kw, d. o. o.",,,,,B2B,0000717|,0,0,800,1,1500,2,3000,3,0,,
0001745,SBS TRGOVINA d.o.o. Ivančna Gorica,,,,,B2B,0001537|,0,0,800,1,1500,2,3000,3,0,,
0001749,EML STADLER d.o.o.,,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0001762,ELEKTRO ČERNEC d.o.o.,,,,,B2B,0001053|,0,0,800,1,1500,2,3000,3,0,,
0001765,ERRI d.o.o. Mostarska,,,,,B2B,0000640|,0,0,800,1,1500,2,3000,3,0,,
0001766,ERRI d.o.o. PE Zagrebačka,,,,,B2B,0000640|,0,0,800,1,1500,2,3000,3,0,,
